"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","The max time editing any one source file."
"org.openrewrite.staticanalysis.CommonStaticAnalysis","5","0","8827","2414","10319","2905"
"org.openrewrite.staticanalysis.DefaultComesLast","5","0","0","0","7521633","7240638"
"org.openrewrite.staticanalysis.UnnecessaryReturnAsLastStatement","5","0","0","0","697523","437547"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","5","0","0","0","104335","80339"
"org.openrewrite.staticanalysis.BooleanChecksNotInverted","5","0","0","0","529517","281455"
"org.openrewrite.staticanalysis.NoRedundantJumpStatements","5","0","0","0","639404","365091"
"org.openrewrite.staticanalysis.RemoveRedundantNullCheckBeforeInstanceof","5","0","0","0","396169","225110"
"org.openrewrite.staticanalysis.NoToStringOnStringType","5","0","0","0","18063","8376"
"org.openrewrite.staticanalysis.CaseInsensitiveComparisonsDoNotChangeCase","5","0","0","0","83787","42660"
"org.openrewrite.staticanalysis.ReplaceStringConcatenationWithStringValueOf","5","0","0","0","401019","203250"
"org.openrewrite.staticanalysis.FinalClass","5","0","0","0","854104","531542"
"org.openrewrite.staticanalysis.FallThrough","5","0","0","0","784895","463265"
"org.openrewrite.staticanalysis.ModifierOrder","5","0","0","0","1556155","1197566"
"org.openrewrite.staticanalysis.SimplifyBooleanExpression","5","0","0","0","459058","282087"
"org.openrewrite.staticanalysis.StringLiteralEquality","5","0","0","0","1080127","714744"
"org.openrewrite.staticanalysis.UseDiamondOperator","5","0","0","0","1183941","853494"
"org.openrewrite.staticanalysis.ExternalizableHasNoArgsConstructor","5","0","0","0","158656","131044"
"org.openrewrite.staticanalysis.UnnecessaryCloseInTryWithResources","5","0","0","0","454055","294520"
"org.openrewrite.kotlin.cleanup.ReplaceCharToIntWithCode","5","0","0","0","1703","641"
"org.openrewrite.staticanalysis.MultipleVariableDeclarations","5","0","0","0","769678","479345"
"org.openrewrite.staticanalysis.MethodNameCasing","5","0","2760374","1668375","59722","34495"
"org.openrewrite.staticanalysis.IndexOfShouldNotCompareGreaterThanZero","5","0","0","0","21241","10740"
"org.openrewrite.staticanalysis.ReplaceLambdaWithMethodReference","5","0","0","0","1289427","974469"
"org.openrewrite.staticanalysis.BigDecimalDoubleConstructorRecipe","5","0","0","0","346957","296223"
"org.openrewrite.staticanalysis.ReplaceClassIsInstanceWithInstanceof","5","0","0","0","17703","8846"
"org.openrewrite.staticanalysis.NoDoubleBraceInitialization","5","0","0","0","129110","85429"
"org.openrewrite.staticanalysis.UpperCaseLiteralSuffixes","5","0","0","0","785887","649002"
"org.openrewrite.staticanalysis.MinimumSwitchCases","5","0","0","0","1083564","788883"
"org.openrewrite.staticanalysis.UnnecessaryPrimitiveAnnotations","5","0","0","0","82866","41077"
"org.openrewrite.staticanalysis.ObjectFinalizeCallsSuper","5","0","0","0","8879","3878"
"org.openrewrite.staticanalysis.RenameMethodsNamedHashcodeEqualOrToString","5","0","0","0","589572","300421"
"org.openrewrite.staticanalysis.AbstractClassPublicConstructor","5","0","0","0","742585","382725"
"org.openrewrite.staticanalysis.EmptyBlock","5","0","0","0","1020085","702422"
"org.openrewrite.staticanalysis.FinalizePrivateFields","5","0","0","0","904169","773845"
"org.openrewrite.staticanalysis.UseJavaStyleArrayDeclarations","5","0","0","0","459026","228888"
"org.openrewrite.staticanalysis.ReplaceStringBuilderWithString","5","0","0","0","21671","11241"
"org.openrewrite.staticanalysis.ExplicitInitialization","5","0","0","0","2015954","1447162"
"org.openrewrite.staticanalysis.NoEmptyCollectionWithRawType","5","0","0","0","48581","31218"
"org.openrewrite.staticanalysis.UnnecessaryExplicitTypeArguments","5","0","0","0","422270","237634"
"org.openrewrite.java.RemoveUnusedImports","5","0","0","0","7775376","5072771"
"org.openrewrite.staticanalysis.IsEmptyCallOnCollections","5","0","0","0","17352","8796"
"org.openrewrite.staticanalysis.RemoveExtraSemicolons","5","0","0","0","582367","325367"
"com.patbaumgartner.CodeCleanup","5","0","67766","58579","56486","36298"
"org.openrewrite.staticanalysis.AtomicPrimitiveEqualsUsesGet","5","0","0","0","3168716","2794397"
"org.openrewrite.staticanalysis.LambdaBlockToExpression","5","0","0","0","498722","277899"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","5","0","0","0","308687","174726"
"org.openrewrite.staticanalysis.WhileInsteadOfFor","5","0","0","0","425975","217196"
"org.openrewrite.staticanalysis.CollectionToArrayShouldHaveProperType","5","0","0","0","483492","255487"
"org.openrewrite.staticanalysis.InlineVariable","5","0","0","0","466512","256419"
"org.openrewrite.kotlin.cleanup.ImplicitParameterInLambda","5","0","0","0","1343","391"
"org.openrewrite.staticanalysis.CovariantEquals","5","0","0","0","750551","660944"
"org.openrewrite.staticanalysis.NestedEnumsAreNotStatic","5","0","0","0","482658","276986"
"org.openrewrite.staticanalysis.UnnecessaryParentheses","5","0","0","0","1310656","961526"
"org.openrewrite.staticanalysis.ForLoopIncrementInUpdate","5","0","0","0","394426","215913"
"org.openrewrite.staticanalysis.IndexOfChecksShouldUseAStartPosition","5","0","0","0","18154","8826"
"org.openrewrite.staticanalysis.CatchClauseOnlyRethrows","5","0","0","0","943532","669260"
"org.openrewrite.staticanalysis.RedundantFileCreation","5","0","0","0","65654","36809"
"org.openrewrite.staticanalysis.WriteOctalValuesAsDecimal","5","0","0","0","426858","221504"
"org.openrewrite.staticanalysis.NoPrimitiveWrappersForToStringOrCompareTo","5","0","0","0","44303","21851"
"org.openrewrite.staticanalysis.PreferSystemGetPropertyOverGetenv","5","0","0","0","11411","6091"
"org.openrewrite.staticanalysis.UsePortableNewlines","5","0","0","0","56606","30547"
"org.openrewrite.staticanalysis.StaticMethodNotFinal","5","0","0","0","459007","229148"
"org.openrewrite.staticanalysis.NoFinalizer","5","0","0","0","14698","7143"
"org.openrewrite.staticanalysis.SimplifyArraysAsList","5","0","0","0","17251","9007"
"org.openrewrite.kotlin.cleanup.EqualsMethodUsage","5","0","0","0","3628","1153"
"org.openrewrite.staticanalysis.NoValueOfOnStringType","5","0","0","0","12433","6221"
"org.openrewrite.java.OrderImports","5","0","0","0","51069263","15804586"
"org.openrewrite.staticanalysis.NoEqualityInForCondition","5","0","0","0","439822","238195"
"org.openrewrite.staticanalysis.SimplifyBooleanReturn","5","0","0","0","340758","203400"
"org.openrewrite.staticanalysis.IndexOfReplaceableByContains","5","0","0","0","24958","14497"
"org.openrewrite.staticanalysis.NeedBraces","5","0","0","0","730464","421246"
"org.openrewrite.staticanalysis.RemoveRedundantNullCheckBeforeLiteralEquals","5","0","0","0","355483","209701"
"org.openrewrite.staticanalysis.FixStringFormatExpressions","5","0","0","0","30768","15990"
"org.openrewrite.staticanalysis.ChainStringBuilderAppendCalls","5","0","0","0","21421","10870"
"org.openrewrite.staticanalysis.EqualsAvoidsNull","5","0","0","0","43312","23544"
"org.openrewrite.staticanalysis.NewStringBuilderBufferWithCharArgument","5","0","0","0","208981","119273"
